scaffold,start,end,mid,sites,pi_concolor,pi_roumanicus,pi_europaeus,dxy_concolor_roumanicus,dxy_concolor_europaeus,dxy_roumanicus_europaeus,Fst_concolor_roumanicus,Fst_concolor_europaeus,Fst_roumanicus_europaeus
NW_006803924.1,1,2500000,1373244,127,0.0732,0.0775,0.1119,0.1725,0.3948,0.4086,0.2927,0.542,0.6273
NW_006803924.1,2500001,5000000,3685287,150,0.0943,0.0501,0.0888,0.3052,0.3939,0.4173,0.5637,0.5717,0.7215
NW_006803924.1,5000001,7500000,6380224,128,0.061,0.0703,0.0973,0.2311,0.4259,0.4502,0.4411,0.6114,0.6886
NW_006803924.1,7500001,10000000,8838738,135,0.0687,0.0429,0.0813,0.2185,0.4266,0.4616,0.5251,0.6424,0.7699
NW_006803924.1,10000001,12500000,11352154,131,0.0863,0.0464,0.0658,0.2606,0.4181,0.4482,0.5384,0.6566,0.7799
NW_006803924.1,12500001,15000000,13763143,150,0.0987,0.0696,0.0937,0.2379,0.381,0.3595,0.3997,0.5441,0.632
NW_006803924.1,15000001,17500000,16247250,142,0.0865,0.0546,0.0774,0.2854,0.449,0.4388,0.5349,0.6468,0.7412
NW_006803925.1,1,2500000,1331158,116,0.0654,0.0612,0.0711,0.2124,0.4225,0.4014,0.4395,0.6697,0.7162
NW_006803925.1,2500001,5000000,3731914,127,0.1053,0.0764,0.0861,0.2956,0.404,0.3702,0.4485,0.5739,0.6385
NW_006803925.1,5000001,7500000,6252325,109,0.0863,0.0759,0.0865,0.3022,0.4003,0.4138,0.4807,0.5912,0.6707
NW_006803925.1,7500001,10000000,8732779,147,0.1017,0.0478,0.0949,0.2576,0.4345,0.39,0.5047,0.5808,0.6998
NW_006803925.1,10000001,12500000,11209258,128,0.1146,0.0801,0.1258,0.2624,0.426,0.3915,0.3825,0.4978,0.5892
NW_006803925.1,12500001,15000000,13722678,130,0.1074,0.0848,0.1098,0.2945,0.4052,0.3352,0.4203,0.5197,0.5515
NW_006803925.1,15000001,17500000,15530532,51,0.0879,0.1293,0.1071,0.4379,0.3777,0.3158,0.4704,0.5224,0.447
NW_006803926.1,1,2500000,1252195,134,0.0786,0.0572,0.083,0.2513,0.3762,0.4512,0.4933,0.5896,0.7341
NW_006803926.1,2500001,5000000,3764916,125,0.0456,0.0625,0.0774,0.2356,0.4723,0.4987,0.5006,0.7033,0.7543
NW_006803926.1,5000001,7500000,6309967,165,0.0797,0.0531,0.0794,0.2416,0.4414,0.4513,0.4949,0.6445,0.7476
NW_006803926.1,7500001,10000000,8871192,129,0.0657,0.0785,0.0877,0.2215,0.4154,0.4511,0.391,0.6222,0.6874
NW_006803926.1,10000001,12500000,11205873,143,0.0942,0.0766,0.0806,0.2757,0.3882,0.3676,0.4369,0.5874,0.645
NW_006803926.1,12500001,15000000,13597376,142,0.0863,0.0634,0.0778,0.2477,0.3865,0.3394,0.4538,0.6025,0.6561
NW_006803927.1,1,2500000,1290958,116,0.1193,0.0789,0.0951,0.2733,0.3469,0.3333,0.3952,0.4849,0.5858
NW_006803927.1,2500001,5000000,3899801,149,0.0873,0.086,0.088,0.286,0.4073,0.4315,0.4301,0.5917,0.661
NW_006803927.1,5000001,7500000,6218738,143,0.0924,0.0592,0.105,0.2721,0.3818,0.3371,0.4933,0.5259,0.6164
NW_006803927.1,7500001,10000000,8679928,139,0.1123,0.0404,0.0918,0.2564,0.4196,0.3906,0.5175,0.5653,0.7214
NW_006803927.1,10000001,12500000,11264910,124,0.1007,0.0794,0.0783,0.2395,0.3464,0.3443,0.3684,0.5485,0.623
NW_006803927.1,12500001,15000000,13703635,134,0.1061,0.0704,0.1237,0.2318,0.3625,0.3738,0.3769,0.4531,0.5959
NW_006803928.1,1,2500000,1175580,129,0.0561,0.0691,0.1018,0.1903,0.3593,0.3666,0.3855,0.5541,0.6261
NW_006803928.1,2500001,5000000,3704610,122,0.0892,0.0421,0.0832,0.2266,0.402,0.4084,0.5049,0.5975,0.7422
NW_006803928.1,5000001,7500000,6234252,118,0.067,0.0691,0.0772,0.2267,0.4049,0.4421,0.4298,0.6403,0.7146
NW_006803928.1,7500001,10000000,8794039,129,0.0709,0.0693,0.0934,0.3031,0.459,0.462,0.5221,0.6318,0.7026
NW_006803928.1,10000001,12500000,11283555,135,0.0933,0.0699,0.105,0.3002,0.3485,0.3641,0.4891,0.4935,0.6174
NW_006803928.1,12500001,15000000,13059100,53,0.0877,0.0934,0.0506,0.3671,0.4732,0.4498,0.4945,0.7271,0.7101
NW_006803929.1,1,2500000,1258330,135,0.06,0.0802,0.077,0.1841,0.4082,0.4546,0.3283,0.651,0.7009
NW_006803929.1,2500001,5000000,3705377,99,0.0788,0.0416,0.0944,0.2268,0.4418,0.4377,0.5259,0.6104,0.7415
NW_006803929.1,5000001,7500000,6262852,131,0.0763,0.0759,0.1066,0.1454,0.3364,0.299,0.2293,0.4974,0.5356
NW_006803929.1,7500001,10000000,8885120,112,0.1045,0.0841,0.0722,0.2536,0.4321,0.4279,0.371,0.6292,0.6847
NW_006803929.1,10000001,12500000,11158510,105,0.1235,0.0307,0.1001,0.1787,0.4647,0.377,0.4024,0.5694,0.7209
NW_006803930.1,1,2500000,1336116,150,0.1297,0.0976,0.1236,0.3342,0.3451,0.3675,0.4092,0.41,0.5384
NW_006803930.1,2500001,5000000,3724406,131,0.1072,0.0954,0.0994,0.3201,0.4231,0.4096,0.4222,0.5567,0.6127
NW_006803930.1,5000001,7500000,6259292,157,0.0951,0.0823,0.1191,0.2579,0.3597,0.3339,0.3944,0.4715,0.5405
NW_006803930.1,7500001,10000000,8712849,130,0.0746,0.0764,0.1063,0.1851,0.3399,0.3099,0.3198,0.5034,0.5476
NW_006803930.1,10000001,12500000,11061845,100,0.0912,0.0596,0.082,0.3753,0.3915,0.3988,0.5977,0.5899,0.7009
NW_006803931.1,1,2500000,1234154,130,0.0916,0.0737,0.0944,0.2633,0.3859,0.422,0.4328,0.5546,0.6689
NW_006803931.1,2500001,5000000,3736473,144,0.1078,0.0733,0.0871,0.3039,0.3951,0.3689,0.4648,0.5616,0.6425
NW_006803931.1,5000001,7500000,6204970,129,0.0837,0.0533,0.0913,0.242,0.4541,0.5167,0.4881,0.6205,0.7601
NW_006803931.1,7500001,10000000,8743409,147,0.08,0.0527,0.0674,0.2687,0.4048,0.4657,0.5318,0.6508,0.7724
NW_006803931.1,10000001,12500000,10561035,71,0.0587,0.0591,0.1051,0.2431,0.497,0.4934,0.5048,0.6403,0.7215
NW_006803932.1,1,2500000,1327609,143,0.0732,0.0653,0.0621,0.2684,0.3975,0.4188,0.4932,0.6691,0.732
NW_006803932.1,2500001,5000000,3837936,147,0.0896,0.0435,0.1043,0.228,0.3963,0.3766,0.5001,0.5429,0.6848
NW_006803932.1,5000001,7500000,6240172,136,0.0771,0.0816,0.067,0.2649,0.4336,0.4166,0.4287,0.6741,0.69
NW_006803932.1,7500001,10000000,8721523,153,0.1007,0.0661,0.1111,0.3095,0.3953,0.3975,0.5028,0.5154,0.6422
