scaffold,start,end,mid,sites,pi_concolor,pi_roumanicus,pi_europaeus,dxy_concolor_roumanicus,dxy_concolor_europaeus,dxy_roumanicus_europaeus,Fst_concolor_roumanicus,Fst_concolor_europaeus,Fst_roumanicus_europaeus
NW_006803924.1,1,2250000,1267308,115,0.0701,0.0793,0.1126,0.1782,0.3851,0.4077,0.3038,0.5357,0.6224
NW_006803924.1,2250001,4500000,3280372,128,0.0866,0.0522,0.0893,0.2697,0.3914,0.393,0.5255,0.577,0.7014
NW_006803924.1,4500001,6750000,5572698,114,0.0931,0.0668,0.092,0.2651,0.4396,0.521,0.4561,0.5997,0.7377
NW_006803924.1,6750001,9000000,7871304,126,0.0565,0.0484,0.103,0.2325,0.3764,0.3475,0.5403,0.5654,0.6533
NW_006803924.1,9000001,11250000,10148646,116,0.0634,0.041,0.0648,0.2198,0.4835,0.5295,0.5462,0.7216,0.8218
NW_006803924.1,11250001,13500000,12368788,130,0.0993,0.0612,0.0688,0.2519,0.3864,0.4167,0.449,0.6104,0.7288
NW_006803924.1,13500001,15750000,14625844,135,0.1018,0.0716,0.1023,0.2869,0.3728,0.3452,0.4571,0.5136,0.6011
NW_006803924.1,15750001,18000000,16600327,99,0.0811,0.0478,0.0645,0.2572,0.4961,0.4746,0.5363,0.7101,0.7902
NW_006803925.1,1,2250000,1165040,100,0.0518,0.0603,0.0733,0.2129,0.4358,0.4102,0.4663,0.6874,0.72
NW_006803925.1,2250001,4500000,3316452,117,0.1068,0.0694,0.0684,0.2878,0.3922,0.3609,0.4591,0.6072,0.6756
NW_006803925.1,4500001,6750000,5569966,102,0.084,0.0657,0.1048,0.2777,0.4008,0.4259,0.4884,0.5512,0.6718
NW_006803925.1,6750001,9000000,7964810,125,0.1059,0.0704,0.0943,0.2536,0.4035,0.3669,0.4107,0.5538,0.6355
NW_006803925.1,9000001,11250000,10139165,124,0.1096,0.0634,0.0888,0.2911,0.4738,0.4155,0.4792,0.6128,0.6932
NW_006803925.1,11250001,13500000,12432163,112,0.1122,0.0943,0.1362,0.2684,0.4006,0.3842,0.3553,0.4587,0.5424
NW_006803925.1,13500001,15750000,14585144,113,0.1006,0.0884,0.1159,0.3441,0.3887,0.2987,0.4728,0.4995,0.4921
NW_006803926.1,1,2250000,1102608,118,0.0831,0.0467,0.0817,0.2321,0.3937,0.4535,0.5027,0.6017,0.758
NW_006803926.1,2250001,4500000,3309235,112,0.0467,0.068,0.0869,0.2546,0.4137,0.4654,0.5025,0.6442,0.7156
NW_006803926.1,4500001,6750000,5730802,145,0.0769,0.0576,0.073,0.2205,0.4861,0.4658,0.449,0.6887,0.7548
NW_006803926.1,6750001,9000000,7843934,122,0.0763,0.0854,0.0748,0.2584,0.3697,0.4414,0.4096,0.6091,0.6868
NW_006803926.1,9000001,11250000,10152134,127,0.0796,0.0714,0.0852,0.2583,0.4749,0.4444,0.4496,0.6513,0.7001
NW_006803926.1,11250001,13500000,12373614,142,0.0828,0.0559,0.092,0.2345,0.3808,0.3639,0.4684,0.5662,0.6684
NW_006803926.1,13500001,15750000,14230468,75,0.0854,0.073,0.0673,0.2826,0.3632,0.3122,0.4681,0.6131,0.6275
NW_006803927.1,1,2250000,1210602,108,0.116,0.0756,0.0995,0.2629,0.3604,0.3381,0.3947,0.4922,0.5906
NW_006803927.1,2250001,4500000,3538833,120,0.0942,0.0728,0.0923,0.3093,0.3806,0.4354,0.4888,0.5523,0.6821
NW_006803927.1,4500001,6750000,5538607,138,0.0944,0.0697,0.0973,0.2466,0.3854,0.3527,0.4184,0.5444,0.6202
NW_006803927.1,6750001,9000000,7933794,134,0.1163,0.0642,0.0891,0.2975,0.419,0.3841,0.4758,0.567,0.6701
NW_006803927.1,9000001,11250000,10104000,109,0.0964,0.0513,0.0762,0.2402,0.4009,0.3487,0.4741,0.6059,0.6948
NW_006803927.1,11250001,13500000,12483614,123,0.098,0.0806,0.1003,0.2587,0.3469,0.3764,0.3968,0.4974,0.6131
NW_006803927.1,13500001,15750000,14247469,73,0.1039,0.0661,0.1396,0.167,0.3385,0.3392,0.2666,0.3986,0.5467
NW_006803928.1,1,2250000,1032696,115,0.0517,0.0641,0.1066,0.1872,0.3544,0.367,0.4063,0.5433,0.6291
NW_006803928.1,2250001,4500000,3286031,110,0.0943,0.0468,0.0758,0.2323,0.4082,0.3929,0.4842,0.6148,0.7353
NW_006803928.1,4500001,6750000,5572356,107,0.0724,0.0715,0.091,0.2404,0.3796,0.4176,0.4343,0.5795,0.6754
NW_006803928.1,6750001,9000000,7911613,115,0.0608,0.0695,0.0824,0.2572,0.455,0.5233,0.4806,0.6658,0.7462
NW_006803928.1,9000001,11250000,10150417,114,0.0823,0.0595,0.1117,0.2999,0.4422,0.3835,0.5387,0.5695,0.644
NW_006803928.1,11250001,13500000,12281531,117,0.0985,0.0859,0.0744,0.3265,0.35,0.3736,0.4637,0.5653,0.6399
NW_006803929.1,1,2250000,1199002,128,0.0612,0.0849,0.0783,0.1936,0.3877,0.4381,0.3294,0.6318,0.6808
