scaffold,start,end,mid,sites,pi_concolor,pi_roumanicus,pi_europaeus,dxy_concolor_roumanicus,dxy_concolor_europaeus,dxy_roumanicus_europaeus,Fst_concolor_roumanicus,Fst_concolor_europaeus,Fst_roumanicus_europaeus
NW_006803924.1,750001,1500000,1179033,41,0.0243,0.0953,0.0833,0.2532,0.3954,0.4379,0.4378,0.6674,0.6547
NW_006803924.1,1500001,2250000,1828118,47,0.0857,0.0667,0.11,0.1089,0.421,0.4367,0.1314,0.554,0.6695
NW_006803924.1,2250001,3000000,2670012,53,0.072,0.0457,0.0848,0.3062,0.514,0.459,0.613,0.6805,0.7579
NW_006803924.1,3000001,3750000,3377621,42,0.0968,0.0599,0.0943,0.274,0.283,0.4052,0.4869,0.4401,0.6853
NW_006803924.1,3750001,4500000,4136875,33,0.0982,0.0558,0.0898,0.1968,0.3224,0.2679,0.3784,0.4971,0.5789
NW_006803924.1,4500001,5250000,4845655,46,0.1288,0.0423,0.0955,0.3448,0.3992,0.5028,0.5867,0.5231,0.7686
NW_006803924.1,6000001,6750000,6345438,42,0.0803,0.0811,0.1081,0.1993,0.4285,0.5178,0.3235,0.5691,0.6928
NW_006803924.1,6750001,7500000,7144755,48,0.0312,0.0634,0.1062,0.2462,0.3995,0.3291,0.5327,0.6039,0.5971
NW_006803924.1,7500001,8250000,7893260,32,0.0852,0.0444,0.1159,0.211,0.3678,0.3554,0.4758,0.4967,0.6469
NW_006803924.1,8250001,9000000,8614170,46,0.0613,0.0355,0.0913,0.2333,0.3558,0.3602,0.5975,0.5715,0.7138
NW_006803924.1,9000001,9750000,9398093,39,0.057,0.0511,0.0421,0.1635,0.5596,0.5943,0.4057,0.8153,0.8503
NW_006803924.1,9750001,10500000,10073748,37,0.0493,0.0409,0.0789,0.3087,0.4227,0.5594,0.669,0.6675,0.8128
NW_006803924.1,10500001,11250000,10949717,40,0.0817,0.0307,0.0711,0.196,0.4608,0.4355,0.5275,0.6746,0.7998
NW_006803924.1,11250001,12000000,11656090,47,0.0945,0.0508,0.0536,0.3179,0.3803,0.46,0.5736,0.6547,0.7942
