NW_006804321.1	633728	-0.009559	-0.005982	-0.075231	0.052901
NW_006803987.1	3673074	-0.009477	-0.004657	-0.079243	0.056417
NW_006804069.1	3399241	-0.008646	-0.005535	-0.074989	0.056520
NW_006804428.1	1592522	-0.008255	-0.003865	-0.072035	0.052529
NW_006803936.1	4554622	-0.007890	-0.003856	-0.073176	0.053670
NW_006804130.1	5756	-0.007696	-0.005526	-0.075519	0.055879
NW_006804515.1	546228	-0.007575	-0.003304	-0.072527	0.058532
NW_006804186.1	1944309	-0.007054	-0.004091	-0.074590	0.055479
NW_006804123.1	1443477	-0.006799	-0.002965	-0.073592	0.057893
NW_006803942.1	7214217	-0.006599	-0.004537	-0.071902	0.057684
NW_006804924.1	546	-0.006386	-0.005163	-0.075332	0.059024
NW_006804854.1	642866	-0.006238	-0.005183	-0.076830	0.058416
NW_006804007.1	1472293	-0.006225	-0.003057	-0.074403	0.058385
NW_006803946.1	8174809	-0.006174	-0.003581	-0.069785	0.056312
NW_006804172.1	1016577	-0.005722	-0.004095	-0.075770	0.059407
NW_006803936.1	6238253	-0.005634	-0.001521	-0.068377	0.052838
NW_006804218.1	2471869	-0.005589	-0.001696	-0.074541	0.059110
NW_006804365.1	1411029	-0.005576	-0.003033	-0.070168	0.055659
NW_006804360.1	1289204	-0.005487	-0.003073	-0.073512	0.061287
NW_006803943.1	6916645	-0.005362	-0.002607	-0.073674	0.057092
NW_006803934.1	1279091	-0.005352	-0.002560	-0.073268	0.056379
NW_006804233.1	386717	-0.005296	-0.002668	-0.070348	0.057601
NW_006804753.1	757740	-0.005262	-0.002840	-0.068543	0.055559
NW_006804631.1	826335	-0.005100	-0.002250	-0.070737	0.057552
NW_006804779.1	306684	-0.005069	-0.004605	-0.070751	0.059853
NW_006803938.1	2581294	-0.004984	-0.003150	-0.067388	0.056892
NW_006804107.1	1502755	-0.004931	-0.004749	-0.071386	0.064242
NW_006803941.1	2010950	-0.004918	-0.004453	-0.069473	0.060856
NW_006804130.1	2253861	-0.004908	-0.003175	-0.071223	0.056996
NW_006804587.1	1156240	-0.004887	-0.003535	-0.070730	0.060659
NW_006804456.1	1332320	-0.004725	-0.002536	-0.071668	0.055910
NW_006805406.1	35612	-0.004694	-0.003396	-0.070396	0.055760
NW_006804181.1	42274	-0.004690	-0.002038	-0.071462	0.056723
NW_006804535.1	640578	-0.004644	-0.003304	-0.067292	0.061110
NW_006805093.1	229716	-0.004627	-0.005446	-0.067084	0.057426
NW_006804120.1	1669069	-0.004618	-0.002929	-0.067399	0.060190
NW_006804113.1	1598971	-0.004512	-0.003146	-0.069888	0.059365
NW_006804055.1	249466	-0.004507	-0.002200	-0.072547	0.057624
NW_006804379.1	1518931	-0.004456	-0.001303	-0.069601	0.057887
NW_006804681.1	274995	-0.004436	-0.001231	-0.075131	0.059449
NW_006804114.1	2449769	-0.004372	-0.003043	-0.068663	0.057022
NW_006803987.1	2467730	-0.004345	-0.002034	-0.075316	0.063910
NW_006803973.1	5882692	-0.004342	-0.003147	-0.067064	0.058248
NW_006804250.1	1123581	-0.004314	-0.000540	-0.066929	0.057945
NW_006803981.1	3026569	-0.004292	-0.002656	-0.062579	0.056572
NW_006804056.1	1436121	-0.004291	-0.002662	-0.064628	0.056225
NW_006803942.1	8804211	-0.004248	-0.003144	-0.065620	0.053922
NW_006804036.1	3976099	-0.004227	-0.000938	-0.076408	0.060318
NW_006805839.1	6168	-0.004222	-0.002597	-0.071900	0.065751
NW_006803933.1	8502611	-0.004219	-0.002233	-0.070599	0.056544
NW_006805366.1	114631	-0.004219	-0.000406	-0.072152	0.056933
NW_006804743.1	904772	-0.004207	-0.003215	-0.073347	0.060681
NW_006804146.1	681988	-0.004178	-0.002436	-0.069614	0.058955
NW_006804916.1	40963	-0.004177	-0.001896	-0.067379	0.056779
NW_006804446.1	664345	-0.004172	-0.002823	-0.072654	0.059454
NW_006804688.1	219525	-0.004150	-0.002015	-0.070024	0.059132
NW_006804050.1	3793410	-0.004145	-0.003099	-0.069381	0.060688
NW_006804227.1	2453104	-0.004127	-0.004721	-0.064635	0.058139
NW_006803953.1	1871085	-0.004105	-0.000762	-0.071450	0.058335
NW_006803929.1	4405080	-0.004038	-0.001892	-0.069195	0.061396
NW_006803980.1	2321788	-0.004036	-0.002761	-0.070687	0.060526
NW_006804052.1	2893560	-0.004035	-0.003300	-0.069603	0.059626
NW_006803926.1	13962339	-0.004018	-0.003690	-0.068678	0.061509
NW_006804612.1	711614	-0.004010	-0.001619	-0.067407	0.058523
NW_006804010.1	5073122	-0.003994	-0.002831	-0.067969	0.058967
NW_006804737.1	108566	-0.003993	-0.002861	-0.070135	0.061751
NW_006804185.1	1778020	-0.003983	-0.000680	-0.068056	0.053699
NW_006803946.1	6708946	-0.003962	-0.002539	-0.074438	0.058419
NW_006803938.1	9592611	-0.003938	-0.002323	-0.069805	0.059239
NW_006804490.1	260323	-0.003929	-0.001515	-0.069441	0.058040
NW_006805296.1	131493	-0.003927	-0.003548	-0.066703	0.058858
NW_006804256.1	274144	-0.003922	-0.002739	-0.066817	0.059598
NW_006804003.1	4337396	-0.003899	-0.001474	-0.069707	0.059112
NW_006805538.1	106493	-0.003854	-0.002084	-0.070585	0.063209
NW_006803942.1	2116157	-0.003806	0.000663	-0.071712	0.059455
NW_006805473.1	77844	-0.003805	-0.002488	-0.071077	0.063780
NW_006804725.1	464700	-0.003798	-0.003460	-0.067468	0.057599
NW_006804023.1	771155	-0.003752	-0.002626	-0.068103	0.064696
NW_006803984.1	5839191	-0.003746	-0.004170	-0.069005	0.059845
NW_006804387.1	1387863	-0.003740	-0.000293	-0.067803	0.056551
NW_006803934.1	669218	-0.003711	-0.000364	-0.074455	0.061227
