NW_006803999.1	3543826	-0.010902	-0.006785	-0.076498	0.042291
NW_006804119.1	1943345	-0.006942	-0.004071	-0.062770	0.050772
NW_006804247.1	1054410	-0.006240	-0.003674	-0.064864	0.050872
NW_006803962.1	5728733	-0.006023	-0.005339	-0.061934	0.050057
NW_006804038.1	890379	-0.005727	-0.004518	-0.060866	0.049675
NW_006803990.1	1215025	-0.005719	-0.003371	-0.058367	0.050201
NW_006804120.1	1669069	-0.005604	-0.003513	-0.065582	0.048979
NW_006804182.1	391248	-0.005440	-0.002017	-0.065026	0.051691
NW_006804096.1	2295377	-0.005229	-0.004027	-0.059676	0.049741
NW_006803933.1	9615890	-0.005183	-0.002951	-0.061073	0.048648
NW_006804239.1	1028829	-0.005089	-0.003226	-0.059272	0.048894
NW_006804147.1	721871	-0.005068	-0.002345	-0.064126	0.049019
NW_006803927.1	8243830	-0.004934	-0.003117	-0.063454	0.046937
NW_006804891.1	404921	-0.004829	-0.003660	-0.062652	0.053868
NW_006804759.1	373201	-0.004810	-0.002176	-0.061921	0.047858
NW_006804075.1	526454	-0.004805	-0.001220	-0.064088	0.046079
NW_006803948.1	4523406	-0.004758	-0.002448	-0.064158	0.050174
NW_006804303.1	452978	-0.004747	-0.002684	-0.059724	0.047986
NW_006804238.1	1782003	-0.004712	-0.003232	-0.061394	0.050213
NW_006803941.1	2010950	-0.004707	-0.003229	-0.062055	0.048458
NW_006804581.1	1182185	-0.004703	-0.003921	-0.059404	0.050662
NW_006805405.1	101830	-0.004679	-0.003879	-0.061182	0.046653
NW_006804077.1	1581155	-0.004645	-0.003617	-0.063569	0.050296
NW_006804111.1	2679800	-0.004637	-0.002203	-0.061916	0.048776
NW_006803925.1	8119697	-0.004616	-0.003370	-0.065271	0.051749
NW_006804835.1	523901	-0.004576	-0.002855	-0.061541	0.053605
NW_006804136.1	1251081	-0.004535	-0.003784	-0.061368	0.054117
NW_006804015.1	1860517	-0.004527	-0.003567	-0.063216	0.049796
NW_006804075.1	2209258	-0.004451	-0.004435	-0.063007	0.050752
