scaffold,start,end,mid,sites,pi_concolor,pi_roumanicus,pi_europaeus,dxy_concolor_roumanicus,dxy_concolor_europaeus,dxy_roumanicus_europaeus,Fst_concolor_roumanicus,Fst_concolor_europaeus,Fst_roumanicus_europaeus
NW_006803924.1,750001,1500000,1190610,33,0.0316,0.1414,0.0964,0.3441,0.5145,0.5902,0.6106,0.7875,0.6759
NW_006803924.1,1500001,2250000,1830784,36,0.1113,0.1092,0.0834,0.1477,0.5205,0.5474,0.1517,0.6958,0.7114
NW_006803924.1,2250001,3000000,2658525,49,0.0788,0.0491,0.1036,0.3276,0.5914,0.5018,0.6846,0.7428,0.7457
NW_006803924.1,3000001,3750000,3394580,34,0.1233,0.068,0.0961,0.3534,0.3543,0.4789,0.5865,0.5399,0.718
NW_006803924.1,4500001,5250000,4847971,41,0.1479,0.048,0.0597,0.4066,0.4328,0.5554,0.6238,0.6252,0.8305
NW_006803924.1,6000001,6750000,6328162,38,0.0877,0.1232,0.1269,0.2202,0.4746,0.5725,0.3642,0.6431,0.6531
NW_006803924.1,6750001,7500000,7162615,35,0.0429,0.069,0.1307,0.3491,0.5675,0.39,0.7339,0.7447,0.6048
NW_006803924.1,8250001,9000000,8609796,34,0.0813,0.0505,0.1286,0.3222,0.4877,0.488,0.6718,0.6575,0.7008
NW_006803924.1,9000001,9750000,9415511,33,0.0691,0.0449,0.0345,0.1904,0.7184,0.7985,0.5519,0.8714,0.9097
NW_006803924.1,9750001,10500000,10070606,33,0.0556,0.0538,0.0861,0.3725,0.4883,0.6414,0.7536,0.7561,0.8113
NW_006803924.1,10500001,11250000,10969085,35,0.0925,0.0665,0.0529,0.258,0.5212,0.4759,0.5416,0.7646,0.7859
NW_006803924.1,11250001,12000000,11670534,40,0.1111,0.1008,0.0537,0.4024,0.4515,0.5431,0.5956,0.7023,0.7604
NW_006803924.1,12000001,12750000,12411243,35,0.1575,0.0487,0.0611,0.2507,0.4527,0.4506,0.4298,0.6232,0.7915
NW_006803924.1,12750001,13500000,13135667,33,0.0952,0.1015,0.0817,0.2702,0.4726,0.5315,0.4791,0.6957,0.7166
NW_006803924.1,13500001,14250000,13865249,38,0.1146,0.0606,0.1135,0.2688,0.5206,0.4291,0.5213,0.6523,0.674
NW_006803924.1,14250001,15000000,14609052,41,0.1279,0.0678,0.0963,0.2773,0.4162,0.3364,0.4913,0.5882,0.6202
NW_006803924.1,15000001,15750000,15423961,38,0.1121,0.0788,0.1399,0.3709,0.4108,0.4032,0.603,0.5433,0.5858
NW_006803924.1,15750001,16500000,16148707,36,0.0853,0.0736,0.0969,0.3126,0.6978,0.4432,0.6069,0.778,0.6884
NW_006803924.1,16500001,17250000,16912370,40,0.0929,0.0918,0.0574,0.3507,0.4851,0.6507,0.5956,0.7418,0.8026
NW_006803925.1,2250001,3000000,2596576,32,0.1658,0.088,0.0347,0.3723,0.4951,0.4345,0.5044,0.6746,0.7621
NW_006803925.1,3000001,3750000,3357645,39,0.0584,0.1619,0.0885,0.4448,0.5374,0.4667,0.6152,0.7687,0.5894
NW_006803925.1,4500001,5250000,4850736,30,0.1176,0.1078,0.1694,0.2623,0.4621,0.4432,0.4113,0.5389,0.5364
NW_006803925.1,6750001,7500000,7176481,30,0.1469,0.1874,0.0639,0.3652,0.4413,0.3463,0.384,0.6266,0.4802
NW_006803925.1,7500001,8250000,7941770,34,0.1073,0.0359,0.093,0.2961,0.5541,0.409,0.6226,0.7046,0.7376
NW_006803925.1,8250001,9000000,8571081,33,0.1481,0.0891,0.1294,0.3076,0.4988,0.5426,0.4561,0.5774,0.6762
NW_006803925.1,9000001,9750000,9398227,34,0.1248,0.027,0.0847,0.3594,0.607,0.5081,0.6628,0.7162,0.8098
NW_006803925.1,9750001,10500000,10106892,36,0.137,0.1511,0.0697,0.2834,0.5678,0.4592,0.3373,0.7029,0.6244
NW_006803925.1,10500001,11250000,10866747,33,0.1417,0.0909,0.0924,0.421,0.5812,0.4983,0.5796,0.6761,0.7002
NW_006803925.1,12000001,12750000,12364889,35,0.1621,0.0746,0.1231,0.3311,0.4578,0.4335,0.4863,0.5378,0.6405
NW_006803925.1,12750001,13500000,13172712,33,0.0819,0.1899,0.1028,0.3885,0.5246,0.4819,0.4945,0.7113,0.5468
NW_006803925.1,13500001,14250000,13906469,34,0.1298,0.1196,0.1759,0.39,0.4287,0.4022,0.5283,0.4872,0.4756
NW_006803925.1,15000001,15750000,15377853,30,0.0938,0.1096,0.1355,0.4899,0.4234,0.4134,0.6677,0.5862,0.5553
NW_006803926.1,1,750000,348866,38,0.0989,0.0822,0.1109,0.2005,0.5698,0.6928,0.3899,0.6999,0.7647
NW_006803926.1,2250001,3000000,2587519,31,0.0848,0.1715,0.0833,0.3305,0.3522,0.5268,0.4539,0.6268,0.6226
NW_006803926.1,3750001,4500000,4045809,33,0.0571,0.0859,0.083,0.3627,0.5473,0.4777,0.6819,0.7819,0.7101
NW_006803926.1,4500001,5250000,4843818,36,0.0842,0.0586,0.0599,0.3382,0.6144,0.556,0.663,0.7984,0.8152
NW_006803926.1,5250001,6000000,5636237,35,0.1277,0.0214,0.0909,0.1862,0.63,0.5236,0.4409,0.715,0.8142
NW_006803926.1,6000001,6750000,6392076,46,0.0792,0.088,0.1091,0.2658,0.5463,0.5264,0.5342,0.7165,0.6956
NW_006803926.1,6750001,7500000,7112284,38,0.0867,0.0672,0.0836,0.4053,0.5285,0.6535,0.692,0.7327,0.8014
NW_006803926.1,8250001,9000000,8626313,34,0.1534,0.1213,0.0865,0.271,0.4886,0.5494,0.3388,0.618,0.6929
NW_006803926.1,9750001,10500000,10107579,39,0.0715,0.0952,0.0477,0.3341,0.5912,0.6278,0.6129,0.8245,0.8039
NW_006803926.1,10500001,11250000,10852471,34,0.1656,0.0896,0.074,0.3071,0.6321,0.5526,0.4254,0.6924,0.7518
NW_006803926.1,11250001,12000000,11583864,35,0.102,0.0817,0.135,0.3081,0.4496,0.5167,0.5534,0.5952,0.6649
NW_006803926.1,12000001,12750000,12415731,35,0.1006,0.0528,0.0926,0.204,0.5588,0.5285,0.4664,0.7158,0.7675
NW_006803926.1,12750001,13500000,13150490,42,0.1107,0.0751,0.1091,0.3404,0.4532,0.3263,0.5836,0.6218,0.5724
NW_006803927.1,1,750000,405203,30,0.1358,0.0211,0.1245,0.2264,0.5937,0.5636,0.4983,0.6522,0.7802
NW_006803927.1,3000001,3750000,3343384,35,0.0497,0.0996,0.1187,0.2779,0.51,0.6402,0.589,0.7269,0.719
NW_006803927.1,3750001,4500000,4188287,46,0.1204,0.0844,0.0841,0.3233,0.4457,0.4808,0.5317,0.6387,0.7124
NW_006803927.1,4500001,5250000,4868466,46,0.1059,0.1308,0.1077,0.3031,0.5,0.4776,0.4509,0.6596,0.6126
NW_006803927.1,5250001,6000000,5581649,32,0.1307,0.0383,0.131,0.3249,0.5963,0.5135,0.5994,0.6518,0.7272
NW_006803927.1,6750001,7500000,7149996,37,0.082,0.1316,0.075,0.3541,0.4704,0.3751,0.5493,0.7244,0.5807
NW_006803927.1,7500001,8250000,7834138,33,0.1609,0.0298,0.11,0.2336,0.4745,0.3772,0.4328,0.5684,0.6982
NW_006803927.1,8250001,9000000,8658194,45,0.1502,0.0849,0.0808,0.402,0.5101,0.5101,0.5602,0.6427,0.7308
NW_006803927.1,10500001,11250000,10850249,30,0.1443,0.0901,0.054,0.3821,0.548,0.4189,0.5434,0.7044,0.7171
NW_006803927.1,12000001,12750000,12388723,36,0.0635,0.0766,0.1079,0.199,0.3921,0.4624,0.492,0.653,0.6787
NW_006803927.1,12750001,13500000,13210527,40,0.127,0.1326,0.1196,0.3934,0.5169,0.51,0.5166,0.6268,0.6157
NW_006803927.1,13500001,14250000,13913159,33,0.1268,0.0594,0.0816,0.2395,0.3322,0.4001,0.4529,0.5352,0.7109
NW_006803928.1,1,750000,363017,33,0.1052,0.1875,0.0811,0.3167,0.4221,0.4818,0.3799,0.6502,0.5767
NW_006803928.1,2250001,3000000,2631744,35,0.123,0.0432,0.0814,0.2853,0.5305,0.5131,0.5615,0.688,0.792
NW_006803928.1,3000001,3750000,3387188,31,0.0916,0.0384,0.0736,0.3074,0.5738,0.5094,0.6624,0.7578,0.8099
NW_006803928.1,4500001,5250000,4896578,34,0.0704,0.0692,0.1328,0.2228,0.4574,0.5529,0.5356,0.6482,0.7019
NW_006803928.1,5250001,6000000,5692107,32,0.0869,0.1172,0.1221,0.1924,0.4584,0.4732,0.3179,0.6406,0.6086
NW_006803928.1,8250001,9000000,8622663,37,0.0684,0.0745,0.0954,0.3398,0.584,0.6857,0.6639,0.7633,0.7882
NW_006803928.1,9750001,10500000,10087542,32,0.0827,0.0625,0.1444,0.3086,0.6358,0.5132,0.6311,0.7077,0.6757
NW_006803928.1,10500001,11250000,10887118,33,0.1031,0.0626,0.1435,0.407,0.444,0.4334,0.6732,0.578,0.6279
NW_006803928.1,11250001,12000000,11554918,33,0.1154,0.1037,0.0516,0.4718,0.4362,0.5575,0.6351,0.6897,0.765
NW_006803928.1,12000001,12750000,12325857,34,0.1348,0.1232,0.0719,0.3005,0.3912,0.3408,0.4118,0.5945,0.5676
NW_006803929.1,1,750000,406135,31,0.0858,0.1546,0.0404,0.1784,0.5204,0.5242,0.2031,0.7923,0.6973
NW_006803929.1,750001,1500000,1136383,31,0.0726,0.1229,0.0596,0.3013,0.5258,0.5866,0.5229,0.7853,0.7407
NW_006803929.1,1500001,2250000,1865327,38,0.0806,0.0869,0.0849,0.3099,0.4993,0.5766,0.587,0.7259,0.7504
NW_006803929.1,6000001,6750000,6421518,33,0.0921,0.0881,0.1488,0.1909,0.5061,0.3932,0.3707,0.6276,0.5498
NW_006803929.1,9000001,9750000,9329339,42,0.1589,0.047,0.1018,0.3671,0.4467,0.4158,0.5745,0.5608,0.7073
NW_006803929.1,9750001,10500000,10089521,34,0.2556,0.1186,0.0613,0.3766,0.5276,0.4071,0.3477,0.5508,0.6499
NW_006803930.1,1,750000,346760,33,0.1209,0.1777,0.1175,0.2743,0.3953,0.4491,0.3058,0.5494,0.5181
NW_006803930.1,750001,1500000,1141334,44,0.1489,0.1226,0.1264,0.3671,0.4215,0.3297,0.473,0.5205,0.4646
NW_006803930.1,1500001,2250000,1905066,45,0.1505,0.0892,0.1332,0.4681,0.3329,0.4537,0.6046,0.4149,0.6185
NW_006803930.1,2250001,3000000,2639758,42,0.129,0.0465,0.1857,0.339,0.3643,0.4713,0.601,0.409,0.6168
NW_006803930.1,3750001,4500000,4147973,38,0.1616,0.1307,0.0514,0.3787,0.5006,0.4026,0.4558,0.6608,0.643
NW_006803930.1,5250001,6000000,5606820,38,0.1705,0.0614,0.1653,0.2954,0.4516,0.4181,0.4487,0.4707,0.5859
NW_006803930.1,6000001,6750000,6349245,35,0.108,0.0719,0.105,0.3244,0.5664,0.3996,0.5784,0.6945,0.6494
NW_006803930.1,6750001,7500000,7163718,37,0.0956,0.1136,0.1124,0.2939,0.4004,0.4488,0.4878,0.6001,0.61
NW_006803930.1,7500001,8250000,7936247,33,0.1089,0.0506,0.1987,0.1872,0.4912,0.4419,0.4149,0.5359,0.5726
NW_006803930.1,8250001,9000000,8611994,30,0.099,0.1761,0.1049,0.2343,0.4748,0.4418,0.2703,0.6581,0.5302
NW_006803930.1,10500001,11250000,10865430,31,0.0945,0.1784,0.0277,0.5264,0.4615,0.3968,0.6006,0.7751,0.6
NW_006803930.1,11250001,12000000,11586851,35,0.1324,0.0933,0.1205,0.4126,0.4211,0.4462,0.5829,0.5508,0.6255
NW_006803931.1,1,750000,368054,35,0.1034,0.1814,0.0842,0.4646,0.4452,0.4752,0.5435,0.6634,0.5757
NW_006803931.1,1500001,2250000,1854196,42,0.1386,0.095,0.0983,0.276,0.5229,0.5352,0.4177,0.6424,0.7049
NW_006803931.1,3000001,3750000,3414830,44,0.1063,0.073,0.1341,0.4062,0.4174,0.382,0.6501,0.5654,0.586
NW_006803931.1,3750001,4500000,4091830,45,0.1413,0.1041,0.0507,0.3598,0.5293,0.5197,0.5044,0.7038,0.7505
NW_006803931.1,5250001,6000000,5532517,31,0.153,0.0743,0.0654,0.2249,0.5536,0.506,0.34,0.6818,0.7666
NW_006803931.1,6000001,6750000,6410215,38,0.0628,0.0717,0.0855,0.2795,0.592,0.7169,0.6241,0.7861,0.8104
NW_006803931.1,7500001,8250000,7855211,37,0.1299,0.0711,0.0614,0.4038,0.5035,0.5362,0.6136,0.6917,0.7887
NW_006803931.1,8250001,9000000,8603003,35,0.0655,0.0361,0.0683,0.2214,0.5492,0.6183,0.6388,0.7915,0.851
NW_006803931.1,9000001,9750000,9376963,30,0.0861,0.1205,0.0714,0.336,0.4635,0.5824,0.5424,0.72,0.7274
NW_006803931.1,9750001,10500000,10097230,40,0.0944,0.0951,0.1023,0.3438,0.5229,0.5477,0.5804,0.6944,0.7054
NW_006803931.1,10500001,11250000,10814473,36,0.0685,0.0919,0.1331,0.2694,0.59,0.6078,0.554,0.7188,0.6986
NW_006803932.1,1,750000,449941,32,0.08,0.0927,0.0495,0.2233,0.4789,0.5812,0.455,0.7709,0.7906
NW_006803932.1,1500001,2250000,1835816,34,0.0498,0.0692,0.1029,0.2965,0.5464,0.579,0.6771,0.7642,0.751
NW_006803932.1,2250001,3000000,2573778,39,0.0821,0.0749,0.1153,0.3493,0.4304,0.5243,0.6448,0.6388,0.7038
NW_006803932.1,3000001,3750000,3415007,33,0.1166,0.0241,0.1175,0.2711,0.5296,0.3869,0.6004,0.6498,0.7016
NW_006803932.1,3750001,4500000,4145656,44,0.0974,0.065,0.1195,0.2921,0.4593,0.4969,0.5774,0.6299,0.6976
NW_006803932.1,4500001,5250000,4936889,42,0.1193,0.0886,0.1279,0.2038,0.5231,0.5037,0.3357,0.6298,0.6578
NW_006803932.1,6000001,6750000,6370722,37,0.1042,0.0915,0.0555,0.4075,0.5247,0.5216,0.6248,0.7457,0.7624
NW_006803932.1,6750001,7500000,7155732,33,0.0992,0.1057,0.0806,0.2715,0.4999,0.3498,0.4647,0.7059,0.5918
NW_006803932.1,7500001,8250000,7844500,43,0.0883,0.0394,0.1288,0.332,0.3977,0.5058,0.6885,0.5837,0.7252
NW_006803932.1,8250001,9000000,8572699,33,0.1411,0.046,0.1849,0.3941,0.5377,0.4089,0.6285,0.5476,0.5724
NW_006803932.1,9000001,9750000,9350448,41,0.1428,0.1528,0.101,0.328,0.5401,0.4439,0.3908,0.6436,0.5681
NW_006803932.1,9750001,10500000,10174765,41,0.1291,0.1018,0.0729,0.372,0.4362,0.5299,0.539,0.6359,0.7273
NW_006803933.1,1,750000,346401,34,0.1086,0.0474,0.1454,0.2711,0.6615,0.5157,0.5658,0.689,0.6959
NW_006803933.1,1500001,2250000,1827794,39,0.0583,0.099,0.0888,0.2466,0.5779,0.4913,0.5292,0.783,0.6902
NW_006803933.1,2250001,3000000,2685337,32,0.0613,0.0499,0.1426,0.3285,0.4785,0.6325,0.7209,0.6604,0.7457
NW_006803933.1,4500001,5250000,4890969,39,0.1172,0.0175,0.1369,0.2526,0.5661,0.5517,0.5916,0.6453,0.7639
NW_006803933.1,5250001,6000000,5665175,33,0.0426,0.042,0.1105,0.1712,0.4888,0.5196,0.616,0.7392,0.7538
NW_006803933.1,6750001,7500000,7130867,38,0.1521,0.0916,0.1066,0.2746,0.4534,0.3013,0.3973,0.5686,0.5178
