scaffold,start,end,mid,sites,pi_concolor,pi_roumanicus,pi_europaeus,dxy_concolor_roumanicus,dxy_concolor_europaeus,dxy_roumanicus_europaeus,Fst_concolor_roumanicus,Fst_concolor_europaeus,Fst_roumanicus_europaeus
NW_006803924.1,750001,1500000,1190610,33,0.0316,0.1174,0.0855,0.3253,0.4755,0.5374,0.6393,0.7895,0.6934
NW_006803924.1,1500001,2250000,1831039,38,0.1044,0.0837,0.0924,0.1127,0.5173,0.5473,0.0946,0.6915,0.7331
NW_006803924.1,2250001,3000000,2660326,49,0.0772,0.047,0.1069,0.3276,0.5825,0.4763,0.6923,0.7371,0.7321
NW_006803924.1,3000001,3750000,3402599,35,0.1203,0.0532,0.105,0.31,0.3243,0.41,0.5752,0.4971,0.6877
NW_006803924.1,4500001,5250000,4841753,39,0.1591,0.0369,0.08,0.4209,0.4693,0.5803,0.6344,0.6063,0.8246
NW_006803924.1,6000001,6750000,6344815,40,0.0834,0.0905,0.1007,0.2175,0.4747,0.5932,0.4416,0.6863,0.7326
NW_006803924.1,6750001,7500000,7162791,36,0.0413,0.0696,0.1298,0.3428,0.5389,0.416,0.7318,0.7362,0.6254
NW_006803924.1,8250001,9000000,8598853,35,0.0786,0.0267,0.1236,0.2959,0.4873,0.4657,0.7084,0.6678,0.7322
NW_006803924.1,9000001,9750000,9406109,34,0.0663,0.0465,0.0593,0.1911,0.6682,0.7353,0.557,0.8354,0.8716
NW_006803924.1,9750001,10500000,10066115,32,0.0561,0.048,0.0713,0.3735,0.5079,0.6511,0.7647,0.7859,0.8391
NW_006803924.1,10500001,11250000,10968343,35,0.092,0.0326,0.0952,0.1912,0.5204,0.5139,0.5213,0.7059,0.7877
NW_006803924.1,11250001,12000000,11674953,40,0.1096,0.0769,0.0753,0.3593,0.4444,0.5405,0.6004,0.6671,0.7626
NW_006803924.1,12000001,12750000,12421129,33,0.1679,0.0465,0.0654,0.255,0.4857,0.4569,0.4205,0.6247,0.7905
NW_006803924.1,12750001,13500000,13134773,35,0.0921,0.108,0.0875,0.2709,0.463,0.4977,0.4734,0.6863,0.6829
NW_006803924.1,13500001,14250000,13869061,40,0.1094,0.0887,0.1403,0.2724,0.4749,0.4106,0.4795,0.596,0.5764
NW_006803924.1,14250001,15000000,14620672,42,0.1255,0.0935,0.085,0.2929,0.4056,0.36,0.4684,0.6004,0.6149
NW_006803924.1,15000001,15750000,15425015,37,0.1164,0.0675,0.1616,0.3688,0.4292,0.4074,0.6132,0.5236,0.5737
NW_006803924.1,15750001,16500000,16148707,36,0.0853,0.0501,0.0852,0.3082,0.6982,0.4826,0.6515,0.791,0.7636
NW_006803924.1,16500001,17250000,16922776,39,0.0946,0.0335,0.044,0.3392,0.4688,0.6311,0.6934,0.7521,0.8894
NW_006803925.1,1500001,2250000,1898997,30,0.0368,0.0878,0.0898,0.2068,0.5042,0.4319,0.5495,0.7856,0.6703
NW_006803925.1,2250001,3000000,2598554,33,0.1629,0.0521,0.0591,0.3664,0.4784,0.4102,0.5589,0.6353,0.7705
NW_006803925.1,3000001,3750000,3357248,40,0.0564,0.1136,0.0688,0.3979,0.5037,0.4782,0.6594,0.7876,0.6908
NW_006803925.1,4500001,5250000,4852486,31,0.1121,0.0691,0.1419,0.2875,0.4391,0.4567,0.5335,0.5641,0.6366
NW_006803925.1,5250001,6000000,5624082,31,0.0873,0.0556,0.1109,0.3805,0.4688,0.572,0.6948,0.6626,0.7555
NW_006803925.1,6750001,7500000,7182958,30,0.1481,0.1461,0.0829,0.3694,0.4625,0.4118,0.443,0.6126,0.5774
NW_006803925.1,7500001,8250000,7935858,36,0.1018,0.0612,0.0991,0.2518,0.5407,0.4262,0.5235,0.6975,0.6943
NW_006803925.1,8250001,9000000,8559995,36,0.139,0.0554,0.1441,0.2917,0.4693,0.534,0.5127,0.5492,0.6961
NW_006803925.1,9000001,9750000,9398227,34,0.1248,0.0109,0.0961,0.3455,0.6089,0.528,0.683,0.7037,0.8236
NW_006803925.1,9750001,10500000,10107328,37,0.1346,0.1131,0.0804,0.2658,0.5607,0.4249,0.3764,0.6893,0.6409
NW_006803925.1,10500001,11250000,10852828,35,0.1352,0.0979,0.0647,0.4017,0.537,0.4557,0.5629,0.697,0.7079
NW_006803925.1,12000001,12750000,12364889,35,0.1621,0.124,0.1245,0.3161,0.4611,0.4427,0.389,0.5385,0.5742
NW_006803925.1,12750001,13500000,13153916,34,0.0783,0.1255,0.1226,0.3118,0.489,0.488,0.5202,0.6706,0.6069
NW_006803925.1,13500001,14250000,13894699,35,0.1264,0.113,0.1182,0.3441,0.4615,0.4611,0.4966,0.5933,0.6113
NW_006803925.1,15000001,15750000,15387861,30,0.0933,0.1424,0.1407,0.4828,0.4411,0.4197,0.6198,0.5931,0.5084
NW_006803926.1,1,750000,359557,38,0.0989,0.0643,0.1065,0.225,0.6007,0.7097,0.4805,0.7184,0.7937
NW_006803926.1,1500001,2250000,1917754,31,0.122,0.0597,0.0739,0.3288,0.4645,0.4591,0.5795,0.6632,0.7556
NW_006803926.1,2250001,3000000,2578014,34,0.0753,0.1201,0.1223,0.2844,0.3745,0.5107,0.5014,0.5949,0.6285
NW_006803926.1,3750001,4500000,4055577,33,0.056,0.0459,0.1064,0.3112,0.5455,0.4813,0.7288,0.7506,0.7368
NW_006803926.1,4500001,5250000,4850822,37,0.0825,0.0682,0.0563,0.3397,0.5784,0.5491,0.6488,0.7942,0.8045
NW_006803926.1,5250001,6000000,5643179,38,0.1204,0.0278,0.1044,0.1541,0.5961,0.5358,0.3625,0.6937,0.789
NW_006803926.1,6000001,6750000,6407031,49,0.0735,0.0929,0.0922,0.2771,0.5276,0.5323,0.5508,0.7386,0.7144
NW_006803926.1,6750001,7500000,7118627,42,0.0776,0.0391,0.089,0.3654,0.4667,0.5806,0.7347,0.7077,0.8093
NW_006803926.1,8250001,9000000,8627533,35,0.151,0.084,0.0993,0.2621,0.4682,0.5439,0.393,0.5905,0.722
NW_006803926.1,9000001,9750000,9376082,31,0.0603,0.0352,0.146,0.2922,0.5258,0.5117,0.7295,0.6833,0.7099
NW_006803926.1,9750001,10500000,10121360,40,0.0688,0.0791,0.0876,0.3003,0.5759,0.5994,0.617,0.7701,0.7652
