scaffold,start,end,mid,sites,pi_concolor,pi_roumanicus,pi_europaeus,dxy_concolor_roumanicus,dxy_concolor_europaeus,dxy_roumanicus_europaeus,Fst_concolor_roumanicus,Fst_concolor_europaeus,Fst_roumanicus_europaeus
NW_006803924.1,750001,1500000,1175190,33,0.0314,0.0805,0.0748,0.3079,0.5024,0.5364,0.7033,0.8167,0.7567
NW_006803924.1,1500001,2250000,1835309,37,0.1068,0.1036,0.0923,0.1395,0.5329,0.5668,0.1464,0.6962,0.7159
NW_006803924.1,2250001,3000000,2648437,46,0.0845,0.0416,0.0752,0.3514,0.5954,0.5205,0.7066,0.7726,0.8064
NW_006803924.1,3000001,3750000,3399755,34,0.1252,0.0731,0.0657,0.3609,0.3284,0.4905,0.5815,0.5622,0.7616
NW_006803924.1,4500001,5250000,4852201,42,0.147,0.0537,0.0691,0.4024,0.4537,0.5989,0.6132,0.6274,0.8217
NW_006803924.1,6000001,6750000,6339920,36,0.0938,0.1065,0.0575,0.2384,0.5146,0.6202,0.4207,0.7533,0.7755
NW_006803924.1,6750001,7500000,7150224,34,0.0429,0.0374,0.0499,0.3701,0.6142,0.4735,0.8123,0.8656,0.8382
NW_006803924.1,8250001,9000000,8588526,31,0.0896,0.0286,0.0954,0.3266,0.5347,0.5291,0.7043,0.7156,0.7985
NW_006803924.1,9000001,9750000,9406818,34,0.0652,0.052,0.0373,0.1957,0.6499,0.6601,0.5518,0.8601,0.8788
NW_006803924.1,9750001,10500000,10070467,33,0.0554,0.0574,0.0624,0.36,0.4961,0.639,0.7392,0.7962,0.8358
NW_006803924.1,10500001,11250000,10967398,32,0.1005,0.0443,0.0401,0.2531,0.6047,0.5937,0.5678,0.8,0.8732
NW_006803924.1,11250001,12000000,11669078,38,0.1156,0.0551,0.0619,0.4176,0.4759,0.5269,0.672,0.6966,0.8083
NW_006803924.1,12000001,12750000,12407854,34,0.1648,0.0386,0.044,0.2411,0.4598,0.4171,0.419,0.6418,0.8273
NW_006803924.1,12750001,13500000,13131797,34,0.0914,0.0666,0.1033,0.2291,0.4745,0.4817,0.4999,0.671,0.7108
NW_006803924.1,13500001,14250000,13869418,36,0.1232,0.0484,0.0962,0.2624,0.5397,0.4336,0.52,0.6736,0.7245
NW_006803924.1,14250001,15000000,14613554,39,0.1371,0.0746,0.0671,0.324,0.473,0.3845,0.5203,0.6565,0.6997
NW_006803924.1,15000001,15750000,15423148,38,0.1108,0.0522,0.0997,0.3735,0.4345,0.463,0.6534,0.6221,0.7284
NW_006803924.1,15750001,16500000,16126824,37,0.0845,0.0571,0.075,0.2875,0.6646,0.4362,0.6169,0.7942,0.7467
NW_006803924.1,16500001,17250000,16925470,40,0.0922,0.0419,0.0555,0.3533,0.4728,0.6,0.6921,0.7398,0.8562
NW_006803925.1,2250001,3000000,2595392,32,0.1669,0.0478,0.0481,0.3793,0.5019,0.4522,0.5714,0.6587,0.816
NW_006803925.1,3000001,3750000,3356349,36,0.0637,0.1123,0.0433,0.4451,0.5719,0.5074,0.6811,0.8361,0.744
NW_006803925.1,4500001,5250000,4864067,31,0.1144,0.1075,0.0877,0.2904,0.4413,0.4625,0.4599,0.6392,0.663
NW_006803925.1,7500001,8250000,7978003,37,0.0967,0.0614,0.0696,0.2536,0.5241,0.4299,0.5375,0.7362,0.7454
NW_006803925.1,8250001,9000000,8562337,37,0.1365,0.0496,0.1026,0.2811,0.4821,0.5339,0.5153,0.6148,0.76
NW_006803925.1,9000001,9750000,9397879,35,0.1185,0.0186,0.0839,0.342,0.5857,0.5261,0.6773,0.7158,0.8298
NW_006803925.1,9750001,10500000,10102680,39,0.1266,0.1316,0.0352,0.2788,0.5646,0.4431,0.3792,0.7589,0.6943
NW_006803925.1,10500001,11250000,10861997,34,0.1413,0.108,0.0858,0.4363,0.5644,0.4803,0.5682,0.6763,0.6756
NW_006803925.1,12000001,12750000,12376187,38,0.1497,0.0922,0.0915,0.2967,0.4411,0.4092,0.4333,0.5832,0.6452
NW_006803925.1,12750001,13500000,13168627,34,0.08,0.1684,0.0914,0.3369,0.5118,0.4681,0.4741,0.7235,0.5781
NW_006803925.1,13500001,14250000,13911460,38,0.1184,0.0815,0.1144,0.3142,0.4628,0.451,0.5299,0.6103,0.6548
NW_006803926.1,1,750000,363414,37,0.1006,0.0624,0.0572,0.2068,0.597,0.71,0.4475,0.7757,0.8513
NW_006803926.1,750001,1500000,1102125,30,0.0726,0.009,0.1182,0.3898,0.3636,0.535,0.8183,0.5968,0.796
NW_006803926.1,1500001,2250000,1901170,32,0.1217,0.0774,0.0477,0.3165,0.457,0.4641,0.5342,0.6983,0.7716
NW_006803926.1,2250001,3000000,2584854,32,0.0813,0.1217,0.0717,0.3256,0.3539,0.5158,0.5375,0.6561,0.6952
NW_006803926.1,3750001,4500000,4054746,35,0.054,0.0507,0.1038,0.3259,0.5079,0.4547,0.7333,0.741,0.72
NW_006803926.1,4500001,5250000,4852653,38,0.0794,0.0916,0.0616,0.3714,0.5583,0.5573,0.6376,0.7845,0.7676
NW_006803926.1,5250001,6000000,5645413,35,0.1308,0.0317,0.0594,0.1851,0.6579,0.5741,0.4023,0.7569,0.8593
NW_006803926.1,6000001,6750000,6394882,47,0.0779,0.0831,0.0915,0.2926,0.5445,0.5401,0.5811,0.7408,0.7319
NW_006803926.1,6750001,7500000,7107840,39,0.0846,0.0564,0.0568,0.3831,0.5053,0.6124,0.7001,0.7639,0.8378
NW_006803926.1,8250001,9000000,8611507,36,0.1384,0.0835,0.0994,0.2586,0.4247,0.5004,0.4121,0.5751,0.7018
NW_006803926.1,9750001,10500000,10095861,42,0.0658,0.1037,0.0763,0.301,0.5642,0.5755,0.5733,0.7851,0.7396
