scaffold,start,end,mid,sites,pi_concolor,pi_roumanicus,pi_europaeus,dxy_concolor_roumanicus,dxy_concolor_europaeus,dxy_roumanicus_europaeus,Fst_concolor_roumanicus,Fst_concolor_europaeus,Fst_roumanicus_europaeus
NW_006803924.1,750001,1500000,1198755,35,0.0295,0.1055,0.0701,0.3167,0.4529,0.5091,0.6601,0.8099,0.7164
NW_006803924.1,1500001,2250000,1850406,41,0.0953,0.054,0.075,0.1269,0.5156,0.5707,0.2691,0.7268,0.8051
NW_006803924.1,2250001,3000000,2658642,45,0.086,0.0355,0.0441,0.3518,0.6011,0.5764,0.7161,0.8126,0.8765
NW_006803924.1,3000001,3750000,3404461,33,0.1265,0.0744,0.0651,0.3636,0.3709,0.5615,0.5796,0.6017,0.7877
NW_006803924.1,4500001,5250000,4841425,41,0.1496,0.0431,0.0807,0.3944,0.4623,0.6064,0.6195,0.6134,0.8224
NW_006803924.1,6000001,6750000,6316322,37,0.0923,0.09,0.069,0.2223,0.4909,0.5834,0.4309,0.7281,0.7694
NW_006803924.1,6750001,7500000,7146391,43,0.0344,0.0835,0.123,0.2666,0.4675,0.4263,0.6497,0.7223,0.6223
NW_006803924.1,8250001,9000000,8582942,33,0.0836,0.0501,0.0904,0.3048,0.4669,0.4445,0.652,0.6968,0.7372
NW_006803924.1,9000001,9750000,9415009,35,0.0664,0.063,0.0331,0.1959,0.6626,0.6855,0.5162,0.8663,0.8747
NW_006803924.1,9750001,10500000,10070867,33,0.0546,0.0549,0.0825,0.3787,0.447,0.6625,0.7569,0.744,0.8199
NW_006803924.1,10500001,11250000,10962505,34,0.0956,0.0378,0.0647,0.2074,0.5504,0.5009,0.526,0.7553,0.822
NW_006803924.1,11250001,12000000,11662870,43,0.1031,0.0555,0.0854,0.3329,0.4312,0.5003,0.6271,0.6528,0.7624
NW_006803924.1,12000001,12750000,12400866,33,0.1697,0.0512,0.0601,0.2643,0.5045,0.4354,0.4229,0.6408,0.7822
NW_006803924.1,12750001,13500000,13143770,36,0.0873,0.1206,0.0939,0.2645,0.4493,0.4603,0.4485,0.6757,0.634
NW_006803924.1,13500001,14250000,13860733,37,0.1205,0.0874,0.1138,0.3104,0.5246,0.4115,0.5111,0.6467,0.6192
NW_006803924.1,14250001,15000000,14615383,43,0.1253,0.106,0.055,0.3166,0.4219,0.4148,0.4777,0.6595,0.6861
NW_006803924.1,15000001,15750000,15432057,41,0.1047,0.0784,0.0798,0.3825,0.3558,0.3834,0.6258,0.6006,0.6695
NW_006803924.1,15750001,16500000,16133418,34,0.0931,0.0458,0.0493,0.3019,0.7581,0.5574,0.6377,0.8355,0.8494
NW_006803924.1,16500001,17250000,16919326,37,0.0997,0.0288,0.0271,0.3486,0.515,0.684,0.6996,0.7894,0.9252
NW_006803925.1,2250001,3000000,2602673,34,0.1573,0.0779,0.0463,0.3403,0.4668,0.4364,0.4992,0.6536,0.7603
NW_006803925.1,3000001,3750000,3356956,38,0.06,0.0696,0.0464,0.3833,0.5281,0.4796,0.7213,0.8245,0.7928
NW_006803925.1,4500001,5250000,4833521,32,0.1105,0.0979,0.1332,0.2841,0.4249,0.4922,0.476,0.5669,0.6317
NW_006803925.1,5250001,6000000,5643596,31,0.0914,0.0652,0.0546,0.3955,0.4772,0.5596,0.6808,0.7445,0.8145
NW_006803925.1,6750001,7500000,7180557,30,0.1501,0.0973,0.0908,0.4025,0.4612,0.4397,0.5425,0.5983,0.6593
NW_006803925.1,7500001,8250000,7946404,34,0.1067,0.1102,0.0646,0.2928,0.5373,0.423,0.4722,0.7351,0.669
NW_006803925.1,8250001,9000000,8565660,38,0.1343,0.0616,0.0835,0.2766,0.4678,0.5033,0.4898,0.6343,0.7577
NW_006803925.1,9000001,9750000,9389839,35,0.1185,0.029,0.0942,0.3372,0.6055,0.5258,0.6528,0.7118,0.7987
NW_006803925.1,9750001,10500000,10103402,42,0.1172,0.1009,0.0977,0.2498,0.5061,0.4368,0.4046,0.6615,0.6415
NW_006803925.1,10500001,11250000,10876356,38,0.1264,0.0491,0.0706,0.3658,0.4855,0.4516,0.6252,0.674,0.7751
NW_006803925.1,11250001,12000000,11678111,30,0.1313,0.0801,0.2153,0.2857,0.4264,0.4239,0.4725,0.4347,0.4961
NW_006803925.1,12000001,12750000,12377023,37,0.1531,0.0476,0.1512,0.2667,0.373,0.3852,0.4659,0.433,0.6021
NW_006803925.1,12750001,13500000,13164457,36,0.0749,0.1238,0.111,0.2716,0.5342,0.5158,0.4772,0.7142,0.6411
NW_006803925.1,13500001,14250000,13918776,39,0.1159,0.1002,0.089,0.3494,0.4725,0.4428,0.5404,0.6553,0.6597
NW_006803926.1,1,750000,354722,38,0.0963,0.0579,0.0346,0.1904,0.5634,0.6634,0.4361,0.8002,0.8753
NW_006803926.1,1500001,2250000,1918723,35,0.1096,0.0899,0.0665,0.2393,0.4247,0.3671,0.4239,0.668,0.6603
NW_006803926.1,2250001,3000000,2572857,34,0.0751,0.0613,0.1128,0.2847,0.3296,0.432,0.6256,0.5689,0.6759
NW_006803926.1,3750001,4500000,4041316,33,0.0566,0.0271,0.1152,0.346,0.5478,0.4704,0.7928,0.7389,0.7471
NW_006803926.1,4500001,5250000,4848228,38,0.0781,0.0819,0.0226,0.3494,0.5544,0.606,0.6392,0.8405,0.8479
NW_006803926.1,5250001,6000000,5655676,35,0.1294,0.049,0.0517,0.1861,0.6309,0.5795,0.3636,0.7585,0.8468
NW_006803926.1,6000001,6750000,6380929,51,0.0714,0.0786,0.0822,0.2665,0.527,0.5188,0.5733,0.7552,0.7417
NW_006803926.1,6750001,7500000,7112773,43,0.078,0.0666,0.0576,0.363,0.4287,0.5934,0.6789,0.7369,0.8182
NW_006803926.1,8250001,9000000,8615131,38,0.1364,0.0816,0.0612,0.235,0.4576,0.5455,0.3784,0.6565,0.7775
NW_006803926.1,9750001,10500000,10125350,42,0.0652,0.0986,0.0675,0.3005,0.5603,0.5342,0.5842,0.7967,0.7408
NW_006803926.1,10500001,11250000,10860787,38,0.1438,0.0979,0.0595,0.3212,0.5366,0.4426,0.4659,0.6926,0.7088
NW_006803926.1,11250001,12000000,11567616,40,0.0846,0.061,0.0855,0.2895,0.4531,0.5129,0.6104,0.695,0.7596
NW_006803926.1,12000001,12750000,12434357,37,0.0963,0.0627,0.1153,0.2147,0.5067,0.4663,0.4723,0.666,0.6906
NW_006803926.1,12750001,13500000,13109098,41,0.1145,0.0501,0.116,0.3003,0.4421,0.3408,0.5823,0.5988,0.6202
NW_006803926.1,13500001,14250000,13859967,31,0.1198,0.1113,0.0367,0.3464,0.4284,0.3328,0.5126,0.7021,0.648
NW_006803927.1,1500001,2250000,1915947,34,0.1616,0.0951,0.0667,0.3714,0.3352,0.3809,0.4991,0.5048,0.6613
NW_006803927.1,3000001,3750000,3336791,34,0.0511,0.0755,0.0369,0.298,0.5275,0.6247,0.6612,0.8526,0.842
NW_006803927.1,3750001,4500000,4180981,47,0.1196,0.0724,0.0852,0.3648,0.4191,0.4701,0.5958,0.6195,0.7234
NW_006803927.1,4500001,5250000,4861843,49,0.0971,0.1183,0.0502,0.2818,0.4616,0.4659,0.4596,0.7348,0.7044
NW_006803927.1,5250001,6000000,5603922,38,0.1197,0.0679,0.0609,0.2909,0.5356,0.4835,0.5251,0.7218,0.774
