scaffold,start,end,mid,sites,pi_concolor,pi_roumanicus,pi_europaeus,dxy_concolor_roumanicus,dxy_concolor_europaeus,dxy_roumanicus_europaeus,Fst_concolor_roumanicus,Fst_concolor_europaeus,Fst_roumanicus_europaeus
NW_006803924.1,750001,1500000,1206377,35,0.0285,0.113,0.0518,0.3156,0.4531,0.505,0.6457,0.8441,0.7297
NW_006803924.1,1500001,2250000,1831039,38,0.1044,0.0806,0.0972,0.1502,0.5021,0.5286,0.2471,0.6769,0.7225
NW_006803924.1,2250001,3000000,2654685,47,0.0805,0.0586,0.0851,0.3327,0.5822,0.4903,0.6658,0.7604,0.7541
NW_006803924.1,3000001,3750000,3401722,34,0.1216,0.0737,0.0959,0.3426,0.3208,0.4569,0.5691,0.5066,0.6977
NW_006803924.1,4500001,5250000,4841733,40,0.1544,0.0422,0.0925,0.4048,0.468,0.5684,0.6212,0.595,0.7965
NW_006803924.1,6000001,6750000,6353097,40,0.0844,0.0912,0.0958,0.2063,0.4694,0.5661,0.4154,0.689,0.7268
NW_006803924.1,6750001,7500000,7159794,36,0.0414,0.1077,0.087,0.314,0.5532,0.4031,0.6284,0.8004,0.6231
NW_006803924.1,8250001,9000000,8549619,32,0.0908,0.0546,0.0676,0.3513,0.5167,0.5482,0.6685,0.7441,0.8076
NW_006803924.1,9000001,9750000,9406109,34,0.0663,0.0794,0.0632,0.1808,0.6508,0.7128,0.4383,0.8265,0.8256
NW_006803924.1,9750001,10500000,10070867,33,0.0546,0.0526,0.0588,0.3602,0.5076,0.6553,0.7506,0.8071,0.8499
NW_006803924.1,10500001,11250000,10949272,37,0.0874,0.0411,0.0837,0.2187,0.5129,0.5062,0.5587,0.7245,0.7893
NW_006803924.1,11250001,12000000,11656937,39,0.1115,0.0759,0.0637,0.374,0.4381,0.5735,0.6115,0.678,0.7916
NW_006803924.1,12000001,12750000,12397146,34,0.1648,0.0544,0.0637,0.2747,0.4672,0.4372,0.4421,0.6191,0.7712
NW_006803924.1,12750001,13500000,13143968,35,0.0935,0.1396,0.0855,0.2845,0.462,0.4935,0.4313,0.6867,0.6405
NW_006803924.1,13500001,14250000,13866521,41,0.1052,0.067,0.1401,0.2877,0.4744,0.3939,0.5521,0.6016,0.5961
NW_006803924.1,14250001,15000000,14596313,42,0.1255,0.094,0.079,0.3255,0.4153,0.4134,0.5084,0.617,0.6654
NW_006803924.1,15000001,15750000,15424699,38,0.1121,0.0972,0.1459,0.4158,0.4265,0.4419,0.6101,0.5483,0.5811
NW_006803924.1,15750001,16500000,16151200,35,0.0886,0.0326,0.0602,0.2871,0.7048,0.4895,0.6629,0.8167,0.834
NW_006803924.1,16500001,17250000,16920920,38,0.0974,0.0715,0.0456,0.318,0.4884,0.6704,0.5928,0.7542,0.8462
NW_006803925.1,2250001,3000000,2588773,32,0.1694,0.0598,0.0576,0.3565,0.4946,0.4224,0.5263,0.6387,0.7655
NW_006803925.1,3000001,3750000,3357904,38,0.0605,0.078,0.0447,0.4444,0.5279,0.4695,0.7402,0.8262,0.7778
NW_006803925.1,4500001,5250000,4852613,32,0.1093,0.0928,0.1089,0.272,0.4351,0.408,0.4709,0.6113,0.6158
NW_006803925.1,5250001,6000000,5630949,30,0.0951,0.0766,0.0644,0.4209,0.4935,0.6107,0.6725,0.7318,0.8012
NW_006803925.1,6750001,7500000,7177150,31,0.1427,0.1028,0.0615,0.4049,0.4422,0.461,0.5474,0.6368,0.7082
NW_006803925.1,7500001,8250000,7935601,37,0.0984,0.0623,0.0803,0.2581,0.5228,0.385,0.538,0.7187,0.6984
NW_006803925.1,8250001,9000000,8566925,36,0.1394,0.0766,0.1233,0.28,0.4829,0.5108,0.456,0.5849,0.684
NW_006803925.1,9000001,9750000,9399359,36,0.1157,0.0436,0.1004,0.3487,0.5772,0.5145,0.6399,0.6956,0.7637
NW_006803925.1,9750001,10500000,10110011,40,0.1255,0.1245,0.058,0.2557,0.5397,0.4816,0.355,0.7199,0.6925
NW_006803925.1,10500001,11250000,10847618,35,0.1385,0.0841,0.0607,0.382,0.5604,0.4902,0.5613,0.7089,0.7524
NW_006803925.1,11250001,12000000,11665954,30,0.1313,0.0669,0.1584,0.2627,0.4329,0.3585,0.4649,0.5114,0.5346
NW_006803925.1,12000001,12750000,12367745,36,0.1563,0.1004,0.1316,0.3212,0.457,0.4319,0.4417,0.5337,0.589
NW_006803925.1,12750001,13500000,13156016,35,0.0765,0.1527,0.1128,0.3281,0.4911,0.4703,0.495,0.688,0.5724
NW_006803925.1,13500001,14250000,13912141,38,0.1185,0.0859,0.1371,0.3478,0.4429,0.4127,0.5585,0.5647,0.5871
NW_006803926.1,1,750000,350316,39,0.0955,0.0842,0.093,0.1978,0.575,0.6881,0.3873,0.7286,0.7807
NW_006803926.1,1500001,2250000,1910144,34,0.1118,0.0959,0.0646,0.2421,0.419,0.389,0.412,0.6637,0.6695
NW_006803926.1,2250001,3000000,2573153,32,0.0796,0.125,0.1176,0.3079,0.3759,0.4673,0.5141,0.5967,0.6002
NW_006803926.1,3750001,4500000,4064359,33,0.058,0.0635,0.1062,0.3336,0.5563,0.4843,0.7027,0.7525,0.7125
NW_006803926.1,4500001,5250000,4845262,39,0.0756,0.0577,0.0594,0.2953,0.5258,0.5246,0.6435,0.7812,0.8072
NW_006803926.1,5250001,6000000,5634977,36,0.1256,0.0204,0.0913,0.1577,0.6116,0.5366,0.3791,0.7094,0.8192
NW_006803926.1,6000001,6750000,6373531,51,0.0713,0.0773,0.0792,0.2492,0.5227,0.4964,0.5533,0.7578,0.7376
NW_006803926.1,6750001,7500000,7124651,41,0.082,0.0654,0.0852,0.345,0.4826,0.5794,0.6595,0.7153,0.7789
NW_006803926.1,8250001,9000000,8624509,35,0.1465,0.0787,0.0924,0.249,0.4661,0.5506,0.3891,0.6043,0.7409
NW_006803926.1,9000001,9750000,9371788,30,0.0621,0.0632,0.141,0.2941,0.5474,0.5162,0.6605,0.6981,0.6811
NW_006803926.1,9750001,10500000,10123673,43,0.0646,0.077,0.1015,0.2884,0.5433,0.5262,0.6179,0.7447,0.7204
NW_006803926.1,10500001,11250000,10858160,38,0.1438,0.1138,0.1096,0.3171,0.5619,0.4608,0.435,0.6439,0.6221
NW_006803926.1,11250001,12000000,11572822,37,0.0942,0.0858,0.105,0.3121,0.4191,0.5208,0.565,0.6281,0.7012
NW_006803926.1,12000001,12750000,12435271,37,0.0961,0.0775,0.0649,0.2381,0.4897,0.463,0.4786,0.7279,0.7434
NW_006803926.1,12750001,13500000,13142602,43,0.1097,0.071,0.0903,0.3079,0.4437,0.363,0.5589,0.644,0.6482
NW_006803926.1,13500001,14250000,13820009,31,0.1213,0.099,0.0864,0.361,0.4489,0.4034,0.5451,0.6362,0.6381
NW_006803927.1,1500001,2250000,1919552,34,0.1642,0.1342,0.0672,0.3836,0.3465,0.3677,0.4527,0.5123,0.5827
NW_006803927.1,3000001,3750000,3320531,35,0.0488,0.1036,0.1012,0.2978,0.51,0.5763,0.6048,0.7533,0.7089
NW_006803927.1,3750001,4500000,4190720,45,0.1254,0.08,0.0506,0.3555,0.4595,0.5074,0.5644,0.6897,0.7809
NW_006803927.1,4500001,5250000,4862280,48,0.0968,0.1231,0.0589,0.2856,0.4526,0.4828,0.4568,0.717,0.6938
NW_006803927.1,5250001,6000000,5607724,36,0.1231,0.049,0.1064,0.294,0.5354,0.4772,0.56,0.6586,0.7301
NW_006803927.1,6000001,6750000,6378152,34,0.1184,0.0461,0.1294,0.2729,0.3174,0.2713,0.5495,0.4511,0.5239
NW_006803927.1,6750001,7500000,7151454,35,0.0874,0.1203,0.0845,0.3927,0.4863,0.3501,0.5942,0.7103,0.5601
NW_006803927.1,7500001,8250000,7862045,33,0.1605,0.0704,0.087,0.2692,0.4937,0.4419,0.4122,0.6114,0.7084
