locus NW_006803924.1:5663849
17 0
10 0
17 0
6 0
20 0
21 0
5 0
6 0
15 0
4 0
6 0
5 0
5 0
locus NW_006803924.1:8539312
18 0
24 0
17 0
10 0
9 0
25 0
13 0
4 0
10 0
7 0
9 0
14 0
6 0
locus NW_006803925.1:816280
11 0
9 0
8 0
4 2
0 7
10 14
4 6
0 10
6 0
8 0
0 4
6 0
6 0
locus NW_006803925.1:1300842
16 0
18 0
25 0
11 0
11 0
17 0
7 0
21 0
19 0
4 1
7 0
14 0
11 0
locus NW_006803925.1:4045896
13 0
20 0
10 0
4 0
25 0
18 0
8 0
16 0
16 0
4 0
5 1
9 0
21 0
locus NW_006803925.1:10516816
9 0
9 0
18 0
11 0
16 0
30 0
7 0
10 1
9 0
4 0
6 0
11 0
12 0
locus NW_006803925.1:13053708
7 0
12 0
10 0
5 0
9 0
9 0
4 0
13 0
7 0
7 0
5 0
8 0
7 0
locus NW_006803925.1:15813543
7 1
13 1
11 0
5 0
6 0
20 0
14 0
18 0
6 0
8 0
4 0
8 0
17 0
locus NW_006803926.1:1670331
10 0
17 0
9 0
8 0
6 0
13 0
13 0
6 0
5 1
5 0
8 0
18 0
10 0
locus NW_006803926.1:3240787
13 0
17 0
18 0
8 0
9 0
21 0
5 0
24 0
21 0
6 0
5 0
9 0
9 0
locus NW_006803926.1:4474949
9 0
25 0
14 0
6 0
9 0
20 0
7 0
8 0
14 0
4 2
6 0
15 0
24 0
locus NW_006803926.1:9708680
9 0
11 0
15 0
8 0
7 0
23 0
11 0
16 0
9 0
5 0
5 0
8 0
13 0
locus NW_006803926.1:11076432
17 0
26 0
40 0
8 0
25 0
53 0
24 0
27 0
27 0
5 2
7 0
18 0
15 0
locus NW_006803926.1:12364156
5 0
15 0
16 0
5 0
6 0
14 0
15 0
8 0
12 0
5 0
5 0
12 0
10 5
locus NW_006803926.1:12426246
6 0
10 0
16 0
14 0
7 0
17 0
8 0
9 0
6 0
5 0
4 0
13 0
8 1
locus NW_006803926.1:13206261
8 0
11 0
10 0
7 0
5 0
13 8
9 0
0 6
14 0
7 0
5 0
12 0
6 0
locus NW_006803926.1:13962339
0 6
12 0
9 7
0 4
19 0
7 14
12 0
15 0
10 0
5 0
0 6
20 0
9 0
locus NW_006803926.1:15083129
14 0
13 0
21 0
10 0
8 0
17 0
12 0
19 0
8 0
0 4
5 0
11 0
0 11
locus NW_006803927.1:2820279
9 0
0 10
17 0
8 0
14 0
17 0
24 0
22 0
0 17
4 0
5 0
0 14
16 0
locus NW_006803927.1:3434020
0 11
27 0
0 8
0 5
8 4
17 9
5 8
0 14
11 0
0 5
0 8
10 0
0 10
locus NW_006803927.1:8971930
11 0
18 0
12 0
6 0
10 0
20 0
15 0
22 0
15 0
9 0
8 0
8 0
6 0
locus NW_006803927.1:9606476
5 0
4 0
12 0
7 0
16 0
16 0
5 2
12 0
21 0
7 0
4 0
20 0
4 0
locus NW_006803927.1:9847522
10 0
11 0
14 0
7 0
9 0
18 0
5 0
18 0
11 0
7 2
4 0
14 0
11 0
locus NW_006803928.1:1667323
23 0
12 0
12 0
8 0
17 0
17 0
7 0
13 0
19 0
0 5
6 0
16 0
0 7
locus NW_006803929.1:1887980
11 0
13 0
19 0
4 0
17 0
20 1
6 0
10 1
11 1
4 0
9 0
10 0
10 0
locus NW_006803929.1:1967614
11 0
8 0
16 0
5 0
6 0
18 0
10 0
8 0
20 0
1 4
6 0
6 0
8 0
locus NW_006803929.1:2571040
10 0
8 0
14 0
4 0
18 0
7 0
6 0
10 0
16 0
7 0
4 0
4 0
7 0
locus NW_006803929.1:7796562
11 0
8 0
24 0
5 0
9 0
33 0
9 0
18 0
10 0
7 1
4 0
7 0
13 0
locus NW_006803929.1:10969946
8 0
11 0
20 0
8 0
12 0
17 0
7 0
15 0
15 0
5 0
4 0
8 0
16 0
locus NW_006803929.1:11622357
5 0
21 0
22 0
10 0
17 0
24 0
12 0
13 0
8 0
5 0
7 0
14 0
8 0
locus NW_006803930.1:4286788
6 0
13 0
14 0
9 0
8 0
17 0
9 0
16 0
7 0
4 0
6 0
10 0
4 0
locus NW_006803930.1:4863884
11 0
5 0
14 0
5 0
13 0
14 0
10 0
18 0
9 0
5 0
4 0
15 0
13 0
locus NW_006803930.1:5286978
34 10
46 18
42 9
24 7
31 7
50 12
18 6
43 14
50 32
12 9
6 3
31 6
59 8
locus NW_006803930.1:6718903
10 0
8 0
8 0
8 0
13 0
28 0
6 0
17 0
19 0
4 0
4 0
13 0
13 0
locus NW_006803930.1:6969990
9 0
23 0
27 0
6 0
10 0
23 0
7 0
9 0
10 0
12 0
6 0
8 0
8 0
locus NW_006803930.1:7126032
10 0
5 0
23 0
5 0
8 0
21 0
4 0
7 0
10 0
4 0
9 0
17 0
12 0
locus NW_006803931.1:4271720
14 0
20 0
12 0
5 0
12 0
22 0
10 0
10 0
6 0
6 0
4 0
9 0
8 0
locus NW_006803931.1:4399642
12 0
11 0
17 0
5 0
13 0
16 0
8 0
8 0
22 0
4 0
6 0
4 0
8 0
locus NW_006803931.1:7535423
8 0
25 0
15 0
4 0
16 0
14 0
13 0
17 0
0 13
5 0
4 0
0 18
13 0
locus NW_006803932.1:6983338
11 0
11 0
14 0
10 0
8 0
17 0
7 0
20 0
9 0
7 0
6 0
5 0
5 0
locus NW_006803932.1:7478791
0 16
21 0
13 3
0 6
0 6
7 13
0 8
0 15
8 0
0 5
0 10
7 0
0 17
locus NW_006803933.1:1134795
9 0
27 1
18 0
6 0
13 0
20 0
5 0
15 0
10 0
5 0
8 0
4 0
11 0
locus NW_006803933.1:8591804
16 0
13 0
16 0
7 0
8 0
22 0
10 0
18 1
16 0
9 0
5 0
13 0
5 0
locus NW_006803933.1:9065546
4 0
17 0
16 0
11 0
7 0
17 1
9 0
12 0
24 0
4 0
5 0
20 0
19 0
locus NW_006803933.1:9615890
9 0
21 0
17 0
4 0
8 0
20 0
9 0
12 0
12 0
8 0
4 0
9 0
14 0
locus NW_006803934.1:609558
20 0
16 0
29 2
11 0
14 0
19 0
16 0
15 0
23 0
6 0
7 2
12 0
9 0
locus NW_006803934.1:1444477
5 0
18 0
20 0
11 0
10 0
25 1
9 0
13 0
11 0
8 0
4 0
10 0
14 0
locus NW_006803934.1:2535757
2 2
12 0
15 0
2 3
6 0
6 0
9 0
7 0
4 0
4 0
4 1
6 0
4 0
locus NW_006803934.1:4579305
9 0
19 0
16 0
10 0
13 0
37 0
7 0
8 0
13 0
5 0
4 0
7 0
8 0
locus NW_006803934.1:8038881
11 0
12 0
15 0
7 0
14 0
21 0
9 0
13 0
5 0
4 0
7 0
8 0
15 0
locus NW_006803934.1:8906006
16 0
28 0
22 0
8 0
4 0
19 0
4 0
19 0
8 0
6 0
6 0
4 0
11 0
locus NW_006803935.1:4651861
17 0
15 0
12 0
10 0
5 1
31 0
15 0
13 0
8 0
4 0
5 0
10 0
7 0
